,response,zh_label,empathy_score,annotator1_score,annotator2_score,annotator3_score,,
"Please read through the protocol information, when you feel you understand and are ready to begin, try and work your way through it. Once you have finished please press 'continue'.",請通讀練習信息，當你覺得自己理解並準備好開始時，嘗試按照自己的方式進行操作。完成後請按“繼續”。,2,2,1,2,2,,
"Oh I am very glad to hear that! Feeling happy/content is something we all want to maintain, so may I recommend a therapeutic protocol you may use to enhance and maintain that positive feeling?",哦，我很高興聽到這個消息！感覺快樂/滿足是我們都想保持的，所以我可以推薦一個治療方案，你可以用來增強和保持這種積極的感覺嗎？,2,2,2,2,2,,
Did something happen to bring about this feeling?,是不是發生了什麼事情導致了這種感覺？,0,0,0,0,1,,
"Sorry to hear about your troubles, I am always here to help. Are you experiencing difficulties with any of your loved ones right now?",很抱歉聽到你的麻煩，我隨時為你提供幫助。你現在與任何親人有困難嗎？,2,2,2,2,2,,
"Are you taking ownership for the things that happen, or do you feel like others are to blame for the negative feelings you have?",你是否對發生的事情負責，或者你覺得別人應該為你的負面情緒負責？,1,1,0,1,2,,
That is unfortunate. Have you given Protocol 6 a try and did it spark the same difficult emotions you felt toward this event?,那是不幸的。你有沒有嘗試過練習 6，它是否引發了你對這個事件所感受到的同樣困難的情緒？,0,0,1,0,0,,
Did you give thought to how others may see the situation?,你是否考慮過其他人會如何看待這種情況？,1,1,0,1,1,,
Would you rather take the lead in relationships?,你願意在人際關係中佔據主導地位嗎？,0,0,0,0,1,,
"How long ago did this happen, was it recent or distant?",這發生在多久以前，是最近還是遙遠？,0,0,0,0,0,,
Are you always willing to hear other people's advice?,你總是願意聽取別人的建議嗎？,0,0,0,0,0,,
"Not every protocol works for everyone, and that's okay, I would recommend  not giving up and trying again. Would you like to attempt another one together?",並非每個練習都適用於每個人，這沒關係，我建議不要放棄並再次嘗試。你想一起嘗試另一個嗎？,2,2,2,2,2,,
Did you happen to try Protocol 11 and do you think that may be why you are having these negative feelings?,你是否碰巧嘗試了練習 11，你認為這可能是你產生這些負面情緒的原因嗎？,2,2,1,2,2,,
Do you feel you are always taking the blame for when a situation goes wrong?,當情況出現問題時，你是否覺得自己總是要承擔責任？,1,1,1,2,1,,
Could your sadness be causing you to become manipulative toward someone? Could it be that you are trying to make someone do or say something in order to feel better?,你的悲傷會導致你對某人變得操縱嗎？會不會是你試圖讓某人做某事或說某事以使自己感覺更好？,2,2,1,2,2,,
"I think Protocol 11 might help, but I'd like to investigate a bit further before I suggest it. If you have recently tried Protocol 11, could you tell me if it brought back unmanageable emotions due to old events?",我認為練習 11 可能會有所幫助，但在我提出建議之前，我想進一步調查一下。如果你最近嘗試過第 11 號練習，你能告訴我它是否會因為舊事件帶來無法控制的情緒嗎？,2,2,2,1,2,,
"Considering your situation, I would like to recommend these protocols for you. Please let me know which protocol you would prefer to start with.",考慮到你的情況，我想為你推薦這些練習。請讓我知道你希望從哪個練習開始。,1,1,1,0,2,,
Could you tell me if this event or events happened recently or in the past?,你能告訴我這個或這些事件是最近發生的還是過去發生的？,1,1,1,0,1,,
"In past conversations, have you really made an effort to understand others' perspectives?",在過去的談話中，你真的努力去理解別人的觀點嗎？,0,0,0,0,0,,
"I'm sorry to hear it. When did this happen, recently or a while back?",我很遺憾聽到它。這是什麼時候發生的，最近還是不久前？,1,1,1,1,1,,
Have you felt something like the following toward someone else:,你有沒有對別人有過這樣的感覺：,0,0,0,0,0,,
"So, how do you feel now after going through the protocol, better or worse?",那麼，在完成練習後，你現在感覺如何，是好是壞？,0,0,0,0,1,,
"Do you feel responsible for someone else, to the point that you may be trying to change or correct their behaviour?",你是否覺得對他人負責，以至於你可能試圖改變或糾正他們的行為？,1,1,1,1,2,,
I hope you can cope. Do you mind if I ask you whether a particular event or issue has caused your anxiety?,我希望你能應付。你介意我問你某個特定事件或問題是否引起了你的焦慮嗎？,2,2,2,2,2,,
"If I may ask, do you have any trouble in your personal matters at the moment?",如果我可以問一下，你目前在個人事務上是否有任何問題？,1,1,2,1,1,,
"I would like you to start the protocol now. Then when you finish, just press 'continue'.",我希望你現在開始練習。然後當你完成時，只需按“繼續”。,0,0,0,0,0,,
"Thank you, I greatly appreciate that you took part in this activity. I look forward to seeing you in the near future.",謝謝你，非常感謝你參加這個活動。我期待著在不久的將來見到你。,2,2,2,1,2,,
"When things go wrong, do you always think that you are to blame?",當事情出錯時，你是否總是認為自己應該受到指責？,0,0,0,1,0,,
"You're doing really well, I want to help you feel better and try and understand your situation. Is it okay to ask some more questions?",你做得很好，我想幫助你感覺更好，試著了解你的情況。可以再問一些問題嗎？,2,2,2,2,2,,
"Does it feel like right now anything really big is happening, like a personal crisis?",是不是感覺現在正在發生什麼真正的大事，比如個人危機？,0,0,0,0,1,,
Have you recently tried Protocol 11 and perhaps found that this did not help in the way you had hoped?,你最近是否嘗試過練習 11，並且可能發現這並沒有像你希望的那樣有所幫助？,2,2,1,2,2,,
Do you feel you are being negatively affected by someone else?,你覺得你受到了別人的負面影響嗎？,1,1,1,0,2,,
Do you find it easier or natural to place the blame for your problems and feelings on others?,你覺得將自己的問題和感受歸咎於他人更容易或更自然嗎？,1,1,0,1,1,,
I look forward to more fruitful engagements with you in the future.,我期待著在未來與你進行更多富有成果的交流。,0,0,1,0,0,,
"I see, perhaps your sadness could be caused by not being able to obtain what you need or expect from others. Could it be that you are attempting to control someone but can't, and this is causing you frustration?",我明白了，也許你的悲傷可能是因為無法從別人那裡得到你需要或期望的東西。會不會是你試圖控制某人但無法控制，這讓你感到沮喪？,2,2,2,2,2,,
Was the thing that happened quite recent or did it occur a long time ago?,發生的事情是最近發生的還是很久以前發生的？,1,1,0,1,1,,
Do you believe you're a victim?,你相信你是受害者嗎？,0,0,0,0,0,,
How are you feeling now? Did it help?,你現在感覺如何？有幫助嗎？,0,0,0,1,0,,
Do you feel you have to look after everyone else?,你覺得你必須照顧其他人嗎？,0,0,0,0,1,,
"Thank you for sharing your feelings with me. To understand your situation I would now like, with your permission, to ask you some questions.",謝謝你和我分享你的感受。為了了解你的情況，經你同意，我現在想問你一些問題。,2,2,2,2,2,,
Could you tell me if you started feeling this way after attempting Protocol 11 to revisit a traumatic event from the past?,你能否告訴我，你是否在嘗試使用練習 11 重新審視過去的創傷事件後開始有這種感覺？,1,1,1,2,1,,
"Is this something you've been worried about for a while, or is it something new thats on your mind?",這是你一直擔心的事情，還是你腦海中的新事物？,1,1,1,1,1,,
"Do you mind telling me when this happened, was it recent or distant?",你介意告訴我這是什麼時候發生的，是最近發生的還是遙遠的？,1,1,1,2,1,,
Would you like to try again with a different one?,你想換一個不同的再試一次嗎？,1,1,0,1,1,,
"Right now, is there something that afflicts you in your circle of friends or family?",現在，在你的朋友或家人的圈子裡，有沒有什麼事情困擾著你？,0,0,0,1,0,,
Do you always feel guilty or angry at yourself for the negative things that happen to you?,你是否總是因為發生在你身上的負面事情而對自己感到內疚或生氣？,0,0,0,0,0,,
Do you feel that you should be the saviour of someone else?,你覺得你應該成為別人的救世主嗎？,0,0,0,0,1,,
Thank you very much for your time and efforts. Have a good day!,非常感謝你的時間和努力。祝你有美好的一天！,1,1,1,0,1,,
"I understand, thank you. Did this event happen recently or a while ago?",我明白了，謝謝。這個事件是最近發生的還是不久前發生的？,1,1,1,1,2,,
"Thinking about it, would you say that you tend to always blame yourself when problems occur?",想一想，你會不會說，當問題出現時，你總是傾向於責備自己？,1,1,1,2,0,,
"It seems that you're feeling {} today, is that an accurate enough description of what you're feeling?",你今天似乎有{}的感覺，這是否足夠準確地描述你的感受？,1,1,1,1,2,,
"Things must be very difficult for you right now, so I wonder if anything major is happening. Is there anything going on in your life that feels bigger than normal?",你現在的事情一定很困難，所以我想知道有沒有什麼大事發生。在你的生活中有什麼事情讓你感覺比平常更重要嗎？,2,2,2,2,2,,
"I'm sorry to hear that, I hope you don't mind elaborating a bit further. Did this happen recently, or was it further away in the past?",我很抱歉聽到這個消息，我希望你不介意進一步詳細說明。這是最近發生的，還是過去更遠？,2,2,2,2,2,,
"If I may ask, do you feel that you want to control someone in your life right now?",如果我可以問，你覺得你現在想控制你生活中的某個人嗎？,2,2,2,1,2,,
Do you always feel like things that go wrong are your fault?,你是否總覺得出錯的事情是你的錯？,0,0,0,0,0,,
"I see, thank you. After listening to your concerns, I think that your are feeling {}, is this true?",我明白了，謝謝。聽完你的顧慮後，我想你的感受是{}，這是真的嗎？,2,2,1,2,2,,
Have you always listened to the people in your life and considered their point of view on things whenever you have spoken to them?,你是否總是傾聽生活中的人的意見，並在與他們交談時考慮他們對事物的看法？,1,1,0,1,1,,
Do you feel better or worse?,你感覺更好還是更糟？,0,0,0,0,0,,
Events from our past may trigger elevated emotions. Did you experience intense negative emotions when doing Protocol 11?,我們過去的事件可能會引發高漲的情緒。在執行練習 11 時，你是否經歷過強烈的負面情緒？,1,1,1,1,2,,
"Oh, I am so sorry to hear this. Did a specific situation cause this?",哦，我很遺憾聽到這個消息。是特定情況造成的嗎？,2,2,1,2,2,,
"That's fine. Now that you have worked through the protocol, could you say whether you feel better or worse than you did before starting?",沒關係。既然你已經完成了練習，你能說你感覺比開始之前更好還是更糟？,1,1,1,1,1,,
"If I may ask this, do you always see yourself at fault for anything that happens?",如果我可以問這個，你是否總是認為自己對發生的任何事情都有過錯？,1,1,2,1,1,,
"Your participation has been invaluable and really appreciated, thank you for your time. I hope to see you soon.",你的參與非常寶貴，非常感謝，感謝你的寶貴時間。我希望很快能見到你。,2,2,2,2,2,,
It's ok to feel the way that you are feeling. Do you believe you are a victim for you feeling so down?,感覺自己的感覺是可以的。你相信你是你情緒低落的受害者嗎？,2,2,2,1,2,,
I'm sorry to hear that. Do you want to try a different protocol to see if it works better?,我很遺憾聽到這個消息。你想嘗試不同的練習，看看它是否效果更好？,2,2,1,2,2,,
Are you remembering something from your distant past or was it something more recent?,你是在回憶遙遠過去的事情還是最近的事情？,1,1,1,0,1,,
"I see, thank you. Do you feel that someone else is to blame for your sadness?",我明白了，謝謝。你覺得別人應該為你的悲傷負責嗎？,1,1,1,2,1,,
"Do you always and continuously blame and accuse yourself when something goes wrong, even if deep down you can recognise that it wasn't your own fault?",當出現問題時，你是否總是不斷地責備和指責自己，即使在內心深處你可以認識到這不是你自己的錯？,1,1,1,1,0,,
Have you felt any of the following about one or more people:,你是否對一個或多個人有以下任何感覺：,0,0,0,0,0,,
Would you say you feel better or worse after taking it?,你會說服用後感覺更好還是更糟？,1,1,1,0,1,,
Do you feel that it is your responsibility to be someone's saviour?,你覺得成為別人的救星是你的責任嗎？,1,1,0,1,1,,
I'm going to ask you now about some other negative emotions. Can you tell me if you've recently felt any of these emotions towards someone:,我現在要問你一些其他的負面情緒。你能告訴我你最近是否對某人有過這些情緒：,1,1,2,0,1,,
Do you blame others for the way you feel right now?,你會因為你現在的感受而責怪別人嗎？,0,0,0,0,1,,
"I have here a few protocols that I would like you to look at, I think that they may be able to help you. Please select the protocol that you would like to try:",我這裡有一些練習，我想讓你看看，我認為它們可能會對你有所幫助。請選擇你想嘗試的練習：,2,2,2,2,2,,
I hope it was a positive experience for you. May I ask if you are now feeling better or worse than before you started the protocol?,我希望這對你來說是一次積極的經歷。請問你現在感覺比開始方案之前好還是壞？,2,2,2,2,2,,
I understand that you are feeling anxious. Please could you tell me a little more about this? Is the anxiety due to a specific event or events?,我了解你感到焦慮。請你能告訴我更多關於這個的信息嗎？焦慮是由於特定事件或事件引起的嗎？,2,2,2,1,2,,
Would you say that you have always considered carefully other people's viewpoints and arguments that may have been presented to you in previous discussions?,你是否會說你一直仔細考慮其他人在之前的討論中可能向你提出的觀點和論點？,1,1,1,2,1,,
"Thank you again, that is helpful for me to understand. Could it be that you are trying to control or manipulate someone else into doing something that you want them to do?",再次感謝你，這有助於我理解。會不會是你試圖控製或操縱別人去做你想讓他們做的事情？,2,2,2,2,2,,
Was it a recent or distant event?,這是最近發生的事件還是遙遠的事件？,0,0,0,0,0,,
Did something happen prior to this feeling?,在這種感覺之前發生了什麼事嗎？,0,0,0,0,1,,
"At this moment in time, are there any major conflicts in your life?",在這個時間點，你的生活中有什麼重大的衝突嗎？,0,0,0,0,1,,
Is this a feeling that came about a result of you doing Protocol 6?,這種感覺是你做練習 6 的結果嗎？,0,0,0,0,0,,
Go ahead with the protocol in your own time. When you're finished just remember to click 'continue'.,在你自己的時間繼續執行該練習。完成後，請記住單擊“繼續”。,1,1,1,0,1,,
Lately has your anxiety led to you have any of the following unwelcome emotions toward anyone else:,最近，你的焦慮是否導致你對其他人產生以下任何不受歡迎的情緒：,1,1,0,1,1,,
"Was this recently, or did it happen some time ago?",這是最近發生的，還是前段時間發生的？,0,0,0,0,1,,
Was this recent or distant?,這是最近的還是遙遠的？,0,0,0,0,0,,
May I ask if you have been under a lot of pressure or stress lately?,請問你最近壓力大嗎？,1,1,2,1,1,,
"I understand. I believe you are feeling {}, would you say that is correct?",我明白。我相信你會感到{}，你會說這是正確的嗎？,1,1,1,1,2,,
I am sorry to hear this. Is there a specific event that may have caused you to feel this way?,我很遺憾聽到這個消息。是否有特定事件可能導致你有這種感覺？,2,2,2,1,2,,
"Has this protocol changed how you feel, either for better or worse?",這個練習是否改變了你的感覺，無論是好是壞？,1,1,0,1,1,,
"I could suggest another protocol that could help, if you like.",如果你願意，我可以建議另一種可以提供幫助的練習。,1,1,1,1,0,,
Would you like to try something different that might be a better fit?,你想嘗試一些可能更合適的不同的東西嗎？,1,1,1,1,1,,
"It's good that you have recognised how you are currently feeling, let's see if we can identify other negative emotions that have been bothering you. Have you felt or expressed any of the following towards anyone recently:",很高興你已經認識到自己目前的感受，讓我們看看我們是否可以識別其他一直困擾你的負面情緒。你最近是否對任何人感到或表達過以下任何一種情況：,2,2,2,2,2,,
Thank you for answering that. Do you ever imagine what it would be like to have a viewpoint other than your own?,謝謝你回答。你有沒有想過擁有不同於你自己的觀點會是什麼樣子？,0,0,1,0,0,,
Do you feel that you're being expected to save others?,你覺得你被期望去拯救別人嗎？,1,1,1,0,1,,
That is unfortunate. Have you given Protocol 6 a try and did it spark the same difficult emotions you felt toward this event?,那是不幸的。你有沒有嘗試過練習 6，它是否引發了你對這個事件所感受到的同樣困難的情緒？,1,1,1,1,2,,
"Thanks for sharing that with me, let's dive into it a little more. I would now like to ask you some more questions, so that I can help.",感謝你與我分享，讓我們再深入一點。我現在想再問你一些問題，以便我能提供幫助。,2,2,2,2,2,,
Have you been able to consider other people's perspectives in your previous conversations?,在之前的對話中，你是否能夠考慮其他人的觀點？,0,0,0,1,0,,
"I really would like to see you again soon, so please drop by when you can.",我真的很想很快再見到你，所以請在你有空的時候光臨。,1,1,1,1,2,,
"Do you often feel that it is your job to save others, or that other people expect you to be that way?",你是否經常覺得拯救別人是你的工作，或者別人期望你那樣做？,1,1,1,1,2,,
"Thank you for being so patient and cooperative. If you don't mind, I would like you to tell me if you feel you are struggling at the moment.",感謝你如此耐心和合作。如果你不介意，我希望你告訴我，如果你覺得你此刻正在掙扎。,2,2,2,2,2,,
Is there anything in particular that you can recall that may be contributing to you feeling that way?,有什麼特別的事情可以讓你回憶起可能讓你有這種感覺的嗎？,1,1,0,2,1,,
"If you think about it, would you like the power to control someone in your life right now?",如果你想一想，你現在想要控制你生活中的某個人嗎？,1,1,0,1,1,,
"Thank you for sharing, I know it can be difficult sometimes. Can we talk a little bit more about your current personal circumstances?",謝謝分享，我知道有時候很難。我們能多談談你目前的個人情況嗎？,2,2,2,2,2,,
Do you feel bad right now because of someone else?,你現在因為別人而感到難過嗎？,0,0,0,0,0,,
Are you experiencing any difficulties or are you facing a crisis in your personal life?,你是否在個人生活中遇到任何困難或面臨危機？,0,0,0,0,1,,
"Oh no, that must have been difficult. Was this recent or distant?",哦不，那一定很難。這是最近的還是遙遠的？,2,2,1,2,2,,
Do you always feel that you need to save the people in your life?,你總是覺得你需要拯救你生命中的人嗎？,0,0,0,0,1,,
"Are you in the middle of some trauma of a personal nature, like difficulties with family members or friends?",你是否正處於個人性質的創傷之中，例如與家人或朋友相處時遇到困難？,1,1,0,1,1,,
"Thank you. I get the impression you are feeling {}, am I right?",謝謝你。我知道你的感受{}，對嗎？,1,1,1,1,1,,
"Did it happen recently, or is this a past event that's still affecting you?",它是最近發生的，還是過去的事件仍在影響你？,1,1,1,0,1,,
Did something in particular happen that made you feel sad?,有沒有發生什麼特別讓你感到難過的事情？,1,1,0,1,1,,
Do you think it's possible that you're just trying to control every move another person makes?,你認為你有可能只是試圖控制另一個人的一舉一動嗎？,1,1,1,0,1,,
"Do you feel these feelings of anxiety could be caused by any other emotions towards someone, for example:",你是否覺得這些焦慮感可能是由對某人的任何其他情緒引起的，例如：,1,1,1,1,1,,
Thank you for taking the time to complete the protocol. How did it make you feel - better or worse?,感謝你花時間完成練習。它讓你感覺如何——更好還是更糟？,2,2,2,1,2,,
Do you feel a weight on your shoulders to save others?,你是否感到肩上的重擔要拯救他人？,1,1,0,1,1,,
"Was that event recent, or was it more distant in your past?",那件事是最近發生的，還是在你過去更久遠？,1,1,0,1,1,,
"Do you feel that someone is not accepting your authority, but they should?",你是否覺得有人不接受你的權威，但他們應該接受？,1,1,1,1,0,,
Have you fully considered the perspectives of those you have talked to in the past?,你是否充分考慮過過去與之交談過的人的觀點？,0,0,0,0,1,,
"I wonder if your sadness could be rooted in a wider issue. Are you experiencing any major problems in your life, have you fallen out with a loved one for example?",我想知道你的悲傷是否可能源於更廣泛的問題。你是否在生活中遇到任何重大問題，例如你是否與所愛的人鬧翻了？,2,2,2,1,2,,
I'm going to ask you a few more questions if you do not mind.,如果你不介意，我會再問你幾個問題。,1,1,0,1,1,,
"Now you have tried this protocol and reached the end, do you feel better or worse about your situation?",現在你已經嘗試了這個練習並到達了終點，你對你的情況感覺更好還是更糟？,1,1,1,0,1,,
"I feel that you are feeling quite {} today, is that right?",我覺得你今天感覺很{}，對嗎？,0,0,0,1,0,,
Do you believe that you should always be hard on yourself when things don't go to plan?,你是否認為當事情沒有按計劃進行時，你應該始終對自己嚴格要求？,0,0,0,0,1,,
"That's ok, thank you for letting me know. Do you feel, perhaps, that someone or something else is causing your negative feelings?",沒關係，謝謝你讓我知道。你是否覺得，也許是某人或某事造成了你的負面情緒？,2,2,2,1,2,,
Would you say that someone else caused you to feel this way?,你會說別人讓你有這種感覺嗎？,1,1,1,0,2,,
"I am sorry that you are hurting, please bear with me while I try to investigate this further. I'd like to ask you some more questions, so that I can understand the situation a bit better.",很抱歉讓你受到傷害，在我嘗試進一步調查此問題時，請多多包涵。我想再問你一些問題，以便我能更好地了解情況。,2,2,2,2,2,,
I'm very sorry that you are going through this. Have you recently attempted Protocol 6 and found this reignited unmanageable emotions as a result of old events?,我很抱歉你正在經歷這個。你最近是否嘗試過第 6 號練習，並發現由於舊事件而重新點燃了無法控制的情緒？,2,2,2,2,2,,
Thank you for taking the time to complete the protocol. How did it make you feel - better or worse?,感謝你花時間完成練習。它讓你感覺如何——更好還是更糟？,2,2,2,1,2,,
"So, how do you feel now after going through the protocol, better or worse?",那麼，在完成練習後，你現在感覺如何，是好是壞？,0,0,0,0,0,,
"In your own words, please could you specify the emotion that you are feeling?",用你自己的話來說，你能具體說明你的感受嗎？,2,2,1,2,2,,
Would you say that you generally listen to others' input?,你會說你通常會聽別人的意見嗎？,1,1,1,0,1,,
Are you always angry at yourself when something bad happens?,當不好的事情發生時，你是否總是對自己生氣？,0,0,0,0,1,,
Could you please express how you feel now that you've gone through this protocol?,你能表達一下你現在已經完成了這個練習的感受嗎？,1,1,1,1,2,,
"May I ask if you feel like a victim right now, and someone else is responsible for your sadness?",請問你現在是否覺得自己是受害者，而其他人要為你的悲傷負責？,1,1,2,1,1,,
"The following question may feel a little direct, but please try to answer as honestly as you can. Would you say that you feel the need to control someone or something right now?",下面的問題可能感覺有些直接，但請盡量如實回答。你會說你現在覺得有必要控制某人或某事嗎？,2,2,2,1,2,,
I'm going to show you a list of emotions now. Please tell me if you have strongly felt or expressed any of these emotions towards someone:,我現在要向你展示一份情緒清單。請告訴我你是否對某人有過強烈的感受或表達過以下情緒：,1,1,1,2,1,,
Have you intensely felt or expressed any of the following emotions towards anyone in your life:,你是否對生活中的任何人強烈感受到或表達過以下任何情緒：,0,0,1,0,0,,
Are you experiencing major difficulties or challenges in your relationships with others right now?,你現在在與他人的關係中是否遇到重大困難或挑戰？,1,1,1,1,1,,
"Do you like to imagine yourself taking power and controlling others, sometimes?",你喜歡想像自己有時會掌權並控制他人嗎？,1,1,1,0,1,,
