response,empathy_score,fluency_score,sentiment_score
聽到你感覺唔舒服，我好遺憾，係咪有咩特別嘅嘢令你有呢種感覺？,1,0.15,0.692534135
聽到你感覺唔舒服，我好遺憾，係咪有咩特別嘅嘢令你有呢種感覺？,1,0.15,0.803895779
聽到你感覺唔舒服，我好遺憾，係唔係有咩特別嘅嘢令你有呢種感覺？,1,0.15,0.713829387
作為你嘅朋友，你可以隨時話俾我知任何事情，我會盡我所能幫你。你可唔可以話俾我知係咪發生咗咩令你有呢種感覺嘅嘢嗎？,1,0.23,0.892897407
我了解你感到唔開心。你可以話俾我知更多嗎？唔開心嘅感覺係由一個定係多個特別事件引起嘅？,0.5,0.28,0.827946887
我明白你嘅感受。為咗可以支持你，你可唔可以話俾我知係咪有一個特定嘅事件引起咗你嘅感受？,1,0.26,0.383940874
我了解你可能感到唔開心，如果你可以提供更多信息，咁就好啦！你認為呢個可能同任何特別事件有關嗎？,1,0.33,0.816610297
我好遺憾聽到你有呢種感受。係咪有特定嘅事件令你有呢種感覺？,1,0.14,0.897970688
你嘅感受係完全正常嘅，我理解並願意提供幫助。你認為呢個係由咩特定原因引起嘅？,1,0.19,0.671301516
我好遺憾聽到你有呢種感受。係咪有咩特別嘅事發生咗令你有呢種感覺嘅？,1,0.15,0.833897031
我知道你而家嘅感覺係唔好嘅。你認為你嘅感受同任何特別事件有關嗎？,1,0.2,0.505135914
好遺憾聽到你有呢種感覺。我知道呢個可能好難傾吓，但係咪有特別事件導致咗呢種情況？,1,0.16,0.822560441
Oh 好遺憾聽到佢。係唔係發生咗咩事而觸發咗呢個感覺？,0.5,0.11,0.671301516
你認為佢可能同發生咗嘅嘢有關？,0.5,0.09,0.464111236
知道你覺得唔開心，我深表遺憾。係唔係發生咗咩事情引發起呢個唔開心嘅情緒？,1,0.21,0.569334837
如果你覺得Ok，你可唔可以話俾我知呢種感覺係咪嚟自發生咗嘅某D事情嗎？,0.5,0.15,0.610171615
我希望你可以應付到。你介唔介意我問你係咪有特定嘅事件或問題引起了你嘅唔開心？,1,0.21,0.671301516
Oh no！呢個同任何發生了嘅事件有關嗎？,0.5,0.07,0.464111236
聽到你感覺唔太好我好遺憾。有發生過咩事情令你有呢種感覺？,0.5,0.17,0.822560441
我諗如果我地可以傾吓係咩令你有呢種感覺可能會有幫助。係唔係某個特定嘅事件令你感到唔開心？,1,0.18,0.671301516
好遺憾聽到你而家正係經歷呢個。係咪有咩特別事件導致咗呢種情況？我希望我可以做D嘢嚟幫手。,1,0.15,0.464111236
好遺憾聽到你有呢種感覺，有呢種感覺係冇問題嘅，你並唔孤單。今日有咩特別嘅嘢令你有呢種感覺？,1,0.25,0.464111236
我好遺憾聽到你今日感覺唔太好。係唔係有咩特別嘅嘢令你有呢種感覺？,1,0.13,0.810346987
Oh 好遺憾聽到你感到唔開心。呢種感覺係由你無辦法控制嘅嘢引起嘅？,1,0.15,0.92815984
我意識到你對某件事感到唔開心並希望提供幫助。你認為係唔係有咩具體嘅、已經發生嘅嘢導致了呢種感覺？,1,0.18,0.822560441
好遺憾聽到你今日感到唔開心，呢個對你嚟講一定好難。你今日有呢種感覺，有咩特別嘅原因嗎，係唔係發生咗咩事？,1,0.19,0.647939371
我好遺憾聽到你有呢種感受，我可以理解。有冇咩特別嘅嘢令你有呢種感覺？,1,0.17,0.464111236
所以我可以幫你減輕你嘅唔開心，但係你諗唔諗到可能導致佢嘅具體事件嗎？,1,0.19,0.464111236
Oh 我地都有過咁樣嘅感受，所以我理解。係唔係有D咩特別嘅嘢引起咗你嘅感受？唔使擔心，我地會解決佢嘅。,1,0.19,0.671301516
好遺憾你而家感到唔開心，我想盡我所能提供幫助。我希望你唔介意我問，但有冇特別發生嘅嘢？,1,0.17,0.703745459
,,,
我可以認同呢一點。而家，呢個感覺係最近定係係好耐之前發生嘅嘢所引至嘅？,1,0.16,0.464111236
Thank you ，我明白啦！你可以話俾我知呢個係最近發生嘅嘢定係係前一陣子發生嘅嘢嗎？我希望你沒有因為呢次事件而受到太多傷害。,0.5,0.22,0.746523863
你而家一定好痛。你可以分享一吓呢個事件係最近發生嘅定係係好耐之前嘅？,1,0.15,0.671301516
明白了，Thank you 分享。呢個係最近發生嘅定係係以前嘅事件？,0.5,0.1,0.647939371
了解你呢個問題發生嘅時間好重要。請問呢個係最近發生嘅事件定係係以前嘅事件？,1,0.32,0.383940874
Thank you ，我想知道你認爲你生活中嘅咩事件引發咗呢種感覺？呢個係最近發生嘅事件定係係好耐之前？,1,0.16,0.464111236
有呢種感覺係可以嘅。呢個事件係最近發生嘅定係好耐之前發生嘅？,1,0.13,0.671301516
對唔住，咁一定好難受。係最近發生嘅嘢定係係好耐以前發生嘅嘢？,1,0.17,0.844356758
明白了，Thank you 分享。你會話呢個係最近發生嘅定係係以前嘅事件？咁樣我先可以更清楚了解。,0.5,0.18,0.671301516
我好遺憾聽到你有呢種感受。係咪有一D最近發生嘅事件令到你有呢種感覺，定係係好耐之前發生嘅事？,1,0.17,0.383940874
我好遺憾聽到你有呢種感受。我可唔可以問吓係唔係由最近定係以前嘅事件引起嘅？,1,0.15,0.810346987
非常多謝你俾我知道。你會話係最近定係以前嘅事件引起咗呢種情緒？,1,0.19,0.754165101
我明白了，Thank you ！呢個事件係最近嘅定係好耐之前嘅？唔理點都好啦，我希望呢個對你嚟講冇太大創傷。,0.5,0.15,0.400100213
我明白。呢個同最近發生嘅嘢定係好耐之前嘅事件有關？,0.5,0.12,0.80533634
我明白了，Thank you ！你會話呢件事發生係最近，定係係你記憶入面好耐之前？,0.5,0.15,0.096580233
多謝你嘅意見，好遺憾聽到你正係經歷緊呢種事情。你可以話俾我知呢個係由最近定係係以前嘅嘢引起嘅？,1,0.18,0.132218464
我想了解你嘅情況。你可唔可以話俾我知呢件事係最近發生嘅定係係好耐之前？,1,0.15,0.618877615
我完全理解你為咩會有呢種感覺。為咗幫你，我需要知道呢個係最近發生嘅定係係前一段時間發生嘅。,1,0.26,0.712388826
Thank you 你嘅回覆，我真係好想幫手。你可以話俾我知呢個係由最近嘅事件定係係由以前嘅事件引起嘅？,1,0.2,0.351622197
好嘅，我可以理解。你有呢種感覺係因為最近或者過去發生嘅某件事？,0.5,0.15,0.448265063
或者你可以話俾我知係最近發生嘅嘢令你有呢種感覺，定係係以前嘅嘢？,1,0.16,0.416259552
Thank you 你嘅回答，我可以理解。你會話呢件事或令你感到唔開心嘅事件發生係最近定係過去嗎？,1,0.18,0.198546912
聼到呢個我好遺憾。係最近發生嘅定係係過去發生嘅事件導致咗呢種情況？,1,0.15,0.58417888
我明白了，Thank you 你話俾我知。請問，呢件事引起你嘅唔開心係以前嘅定係係最近嘅？,1,0.18,0.75090818
咁係最近發生嘅定係好耐之前發生嘅？,0,0.13,0.790179131
我明白。你可唔可以話俾我知呢件事發生嘅時間，咁我可以進一步了解係咩令你感到唔開心，係最近嘅定係係以前嘅？,1,0.24,0.754165101
Thank you ，你可以話俾我知，呢個係最近發生嘅定係係以前嘅事？,0.5,0.11,0.588312664
多謝你嘅分享。呢件事係最近發生嘅定係係已經有一段時間？,0.5,0.14,0.144807716
我好遺憾聽到呢件事發生係你身上。呢個係最近發生嘅定係好耐之前發生嘅？,1,0.14,0.335588125
我知道傾呢D事可能好難，所以Thank you 你對我坦白。我想知更多關於呢件事係咩時候發生嘅，係最近發生嘅嘢定係係過去發生嘅嘢？,1,0.21,0.871414255
我好遺憾聽到呢個消息，希望你唔介意同我分享佢發生嘅時間。係最近嘅定係係以前嘅？,1,0.13,0.054052361
好嘅，Thank you ，我好開心你可以好自在咁傾呢個。呢件事係最近定係係前一段時間發生而令到你覺得唔開心？,0.5,0.16,0.732556683
我好遺憾聽到你有呢種感受，我希望你唔介意進一步詳細講。呢個係最近發生嘅，定係係好耐之前發生嘅？,1,0.16,0.93504948
我知道呢個對你嚟講可能好難。我想問吓，係最近發生嘅嘢定係係前一段時間發生嘅嘢？,1,0.23,0
請幫助我進一步了解。呢個係最近發生嘅事定係好耐之前？,1,0.11,0.741513216
好嘅，大聲講出嚟係好嘅第一步。你可以諗到令你有呢種感覺嘅事件係最近發生嘅定係係過去發生嘅？,0.5,0.18,0.68251284
多謝你嘅分享。你可以話俾我知呢件事發生並引起你唔開心嘅嘢係最近發生嘅定係好耐之前？,0.5,0.18,0.144807716
呢個係最近發生嘅事件定係係前一段時間發生嘅嘢？,0,0.17,0.246962295
Oh 聽到呢個我好遺憾。呢個係最近發生嘅定係係以前嘅？,1,0.13,0.367781536
好嘅，Thank you 你話俾我知。呢件事係冇幾耐之前發生嘅，定係係最近發生嘅？,0.5,0.13,0.886258299
我好遺憾呢件事發生係你身上。呢個係最近發生嘅定係係前一段時間發生嘅？,1,0.15,0.610171615
我希望你唔介意傾吓佢。呢個係最近令你覺得唔開心嘅嘢嘅嘢定係已經發生咗好耐？,1,0.11,0.351622197
我想知道，呢個事件係最近發生嘅，定係好耐之前？,0,0.15,0.293060253
明白，我好遺憾聽到呢個消息。呢個感覺係關最近發生嘅嘢，定係係好耐之前發生嘅？,1,0.16,0.383940874
呢個係好耐以前發生嘅，定係係最近發生嘅？,0,0.17,0.982149568
呢個發生係幾耐之前？,0,0.04,0.972253539
你可唔可以話俾我知呢個或呢D事件係最近發生嘅定係係過去發生嘅？,0.5,0.18,0.985594388
我好遺憾聽到你覺得咁樣。呢個係咩時候發生嘅，最近定係係好耐之前？,0.5,0.11,0.889389954
發生嘅嘢係最近發生嘅定係係好耐以前發生嘅？,0,0.19,0.967180258
你介唔介意話俾我知呢個係咩時候發生嘅，係最近發生嘅定係係好耐之前嘅？,0.5,0.21,0.951396718
我明白了，Thank you ！呢個事件係最近發生嘅定係好耐之前發生嘅？,0.5,0.13,0.992421395
我好對唔住聽到呢個消息，我希望你唔介意進一步詳細講。呢個係最近發生嘅，定係係過去？,1,0.15,0.996116748
你回憶呢件事係發生係過去嘅嘢定係係最近嘅嘢？,0.5,0.14,0.976387323
呢個係最近發生嘅事件定係係遙遠嘅事件？,0,0.13,0.968746085
呢個係最近發生嘅，定係係前段時間發生嘅？,0,0.2,0.988162345
呢個係最近嘅定係係好耐之前嘅？,0,0.1,0.957033697
Oh 咁一定好難受。呢個係最近嘅定係係好耐之前嘅？,1,0.08,0.963046474
佢係最近發生嘅，定係係過去嘅事件仲係影響緊你？,0,0.11,0.97287987
嗰件事係最近發生嘅，定係過去？,0,0.1,0.95264938
呢個係最近發生嘅嘢，定係仍然係你腦海入面過去嘅嘢？,0.5,0.16,0.984529625
你而家一定好痛。你可以分享一吓呢個事件係最近嘅定係係好耐以前嘅？,1,0.15,0.95264938
我明白了，Thank you ！你會話呢件事發生係最近，定係好耐之前？,0.5,0.12,0.889389954
呢個係最近發生嘅？,0,0.06,0.969435049
,,,
首先，你嘅感受對我好重要，所以我需要問吓你之前同練習嘅互動情況。你最近有冇試過練習6 ，如果有，佢係咪會因為你想起呢件事而引發難以處理嘅情緒？,1,0.21,0.9648002
有D人發現練習6唔一定對佢地有幫助，所以我想評估吓佢係咪適合你當前嘅情況。你係咪試過練習6 ，佢有冇令你感到任何負面情緒？,1,0.11,0.930101466
Thank you ，我明白啦！你會話呢種負面情緒係因爲最近做練習6而引發嘅？,0.5,0.11,0.98847551
我想知道，最近試吓做練習6係咪會引發任何唔好嘅感覺？如果發生呢種情況，我希望你唔會因為嗰次練習而感覺太辛苦。,1,0.24,0.99029187
我明白呢個可能好難。請問你係咪試過練習6嚟更好咁理解你嘅情緒？,1,0.16,0.993611424
你係咪最近試過練習6 ，你認為呢個可能係你產生呢D負面情緒嘅原因嗎？,0.5,0.12,0.984153827
練習6可以喚起你可能好耐都冇感受到嘅情緒，所以我想知道呢個係咪適合你。有冇可能你最近嘗試了練習6 ，呢個又重新點燃咗負面情緒？,1,0.23,0.98521859
多謝你嘅配合，我正係努力確定幫助嘅最佳方式。我理解回憶創傷係好難嘅。我好好奇練習6係咪對你嚟講太痛苦了？,1,0.17,0.926218214
你係咪試過練習6並且可能發現呢個並冇好似你希望咁樣提供幫助？,1,0.17,0.930101466
我認為練習6可能會有幫助，但係我提出建議之前，我想進一步調查一吓。如果你最近試過練習6 ，你可以話俾我知佢係咪會因為之前發生嘅事而導致無法控制嘅情緒？,1,0.21,0.987285482
你係咪最近試過練習6 ，並因為過去事件引發了無法忍受嘅情緒？,0.5,0.11,0.988162345
聽到正係經歷呢個我好遺憾。你最近係咪試過練習6並發現由於之前發生嘅事而重新點燃咗負面情緒？,1,0.17,0.957033697
練習6中嘅一D項目對某D人嚟講可能好難，所以我想知道佢地係咪適合你。你係咪試過練習6中嘅練習並發現佢地好難或有創傷？,1,0.18,0.957033697
多謝你同我分享，我知道呢個可能好難。我想問你最近係咪試過練習6 ，如果係，你係咪因此感到更加痛苦。,1,0.27,0.982149568
Thank you！或者練習6可以幫你處理呢個事件，但係係我推薦佢之前，我想確定你過去沒有遇到過唔好嘅經歷。你係咪已經試過練習6 ，如果係，佢有冇激起到你困難或創傷性嘅情緒？,1,0.19,0.383940874
你最近係咪試過練習6 ，如果係咁樣，係咪令你感到難以控制自己情緒？,0.5,0.2,0.989289741
我知道有時諗返過去會令人唔舒服。你有冇嘗試實行過練習6 ，如果係咁樣，你有冇覺得出現咗無法處理嘅情緒？,1,0.18,0.970875611
呢個真係好有幫助，Thank you ！你覺唔覺得做練習6會令到你覺得唔開心？,0.5,0.11,0.950582488
練習6係難度更大嘅練習之一，並唔適合所有情況。我正係嘗試確定佢係咪適合你。你之前有冇試過練習6之後發覺佢太難？,1,0.15,0.956657898
係我地進一步討論之前，我想了解一下練習6係咪適合你。你可唔可以話俾我知你係咪已經試過練習6 ，係咪會引發任何唔開心嘅情緒？,1,0.24,0.775898785
Thank you 你提供嘅信息。你可唔可以話俾我知你最近係咪試過練習6並發現由於之前發生嘅事而重新點燃咗負面情緒？,1,0.2,0.993674057
明白了，非常感謝分享。你最近係咪試過練習6跟住令到情緒爆發？,0.5,0.14,0.997306777
我理解同埋為發生呢D事而感到遺憾。你最近係咪試過練習6並發現由於之前發生嘅事而重新點燃咗負面情緒？,1,0.17,0.99918577
Thank you 你幫到我更好咁理解。我想知道你最近係咪試過練習6 ，如果係，你係咪發現佢弊大於利？,1,0.21,0.68251284
我想了解練習6係咪適合你。請問你最近係咪試過練習6 ，有冇發覺呢個會帶返之前負面嘅情緒？,1,0.16,0.892897407
Thank you！我認為練習6可以幫你處理呢個事件，但係有D人反映返呢個練習可能有D難。你係咪已經試過練習6 ，如果係咁樣，佢有冇激起到你困難或創傷性嘅情緒？,1,0.19,0.971564575
多謝你咁坦白，我正係到揾提供幫助嘅最佳方法。我知道重新睇返創傷係好辛苦。但係我想知道練習6 係咪對你嚟講太辛苦？,1,0.22,0.978579481
Thank you！或者練習6 可以幫你處理呢個事件，但係係我推薦佢之前，我想make sure你過去冇遇到過唔好嘅經歷。你最近係咪試過練習6，如果你試過，佢係咪會引起過去事件嘅困難情緒？,1,0.21,0.975760992
你最近係咪試過練習6，如果你試過，佢係咪會引起過去事件嘅困難情緒？,0.5,0.19,0.995051985
你可能知道，練習6 可用於檢查此類事件。你有任何使用練習6 嘅經驗嗎？如果係咁樣，你係咪發現佢令到同過去事件相關嘅困難情緒浮上水面？,1,0.22,0.889640486
你有冇試過練習6，佢係咪引發了你對呢個事件所感受到嘅同樣困難嘅情緒？,0.5,0.09,0.923775523
有時你可以通過練習6 解決同過去嘅創傷事件相關嘅唔開心。你係咪已經試過練習6，如果係，你係咪真係發現佢帶嚟嘅情緒太強烈了？,1,0.21,0.991356633
你有冇試過練習6，佢係咪引發了你對呢個事件所感受到嘅同樣困難嘅情緒？,0.5,0.09,0.965551798
有時你可以通過練習6 解決同過去嘅創傷事件相關嘅焦慮。你係咪已經試過練習6，如果係，你係咪真係發現佢帶嚟嘅情緒太強烈了？,1,0.2,0.992045597
你最近係咪通過練習6 重新睇返咗呢件事嘅創傷，呢個就係你而家感到焦慮嘅原因嗎？,0.5,0.11,0.953902042
練習6 中嘅練習對某D人嚟講可能好難，所以我想知道佢地係咪適合你。你係咪試過練習6 中嘅練習並發現佢地困難或痛苦？,1,0.25,0.952712013
有時D人會係嘗試做練習6 時受到唔好嘅影響。你最近係咪試過做練習6 並發現呢種體驗令人痛苦？,0.5,0.2,0.995928849
你係咪做咗練習6，係咪令你感覺更差？,0,0.16,0.985093323
你係咪注意到由於過去嘅事件，嘗試練習6（如果你試過）時會產生難以忍受嘅情緒？,1,0.13,0.950582488
多謝你同我分享，我知道呢個可能好難。你最近係咪試過練習6，並發現佢使源自過去事件嘅無法控制嘅情緒復活了？,1,0.18,0.956657898
你最近係咪通過練習6 重新睇返呢件事並發現佢帶回了唔開心嘅感覺和情緒？,0.5,0.12,0.989039208
你覺得你最近嘅唔開心嘅情緒可能歸因於嘗試練習6 嗎？,0.5,0.1,1
我想知道，最近試吓做練習6 係咪會引發任何唔好嘅感覺？,0.5,0.15,0.996680446
你有冇試過練習6，如果係嘅話，呢個係咪會引發過去嘅負面情緒？,0.5,0.1,0.70881874
你係咪能夠嘗試練習6，如果可以，你係咪覺得呢個練習帶嚟了同你過去經歷嘅相同嘅困難情緒？,0.5,0.19,0.971564575
你係咪試過練習6，如果係，你係咪對過去有負面想法，導致你嘅思緒係那個方向徘徊？,0.5,0.2,0.977452086
當嘗試按照練習6 嘅要求重新睇返你嘅創傷時，你係咪發現自己情緒上唔舒服並且難以繼續進行？,1,0.13,0.995928849
Thank you ，我明白啦！你會話呢種負面情緒係由於最近做練習6 而引發嘅？,0.5,0.12,0.989289741
你係咪嘗試完成練習6 跟住由於過去發生嘅嘢而重新提起返一D唔好嘅感覺？,0,0.12,0.383940874
你係咪已經試過做練習6 ？如果係咁樣，覺得點啊？佢係咪重新燃點咗令你唔舒服嘅情緒？,0,0.2,0.810346987
Thank you 或者練習6 可以幫你處理呢件事，但係我推薦佢之前，我想make sure你過去冇遇到過唔好嘅經歷，你最近係咪試過練習6，如果係，佢係咪引起了過去事件中嘅困難情緒？,1,0.19,0.964674934
你最近試過練習6 嗎？如果係咁樣，佢係咪引起了過去事件中嘅困難情緒？,0.5,0.13,0.99636728
如你所知，練習6 可用於研究此類事件。你有冇做過 6 號練習嘅經驗，如果有，你係咪發現佢令到同過去事件相關嘅困難情緒浮上水面？,1,0.18,0.952712013
你有冇試過練習6，佢係咪激起了你對呢個事件所感受到嘅同樣困難嘅情緒？,0.5,0.09,0.923963422
有時你可以通過練習6 解決同過去嘅創傷事件相關嘅唔開心情緒，如果係咁樣，你係咪真係試過練習6 並發現佢帶嚟嘅情緒過於強烈？,1,0.19,0.803332081
你最近係咪通過練習6 重新睇返咗呢件事嘅創傷，呢個就係你而家感到唔開心嘅原因？,0.5,0.12,0.973506201
練習6 中嘅練習對某D人嚟講可能好難，所以我想知道佢地係咪適合你。你係咪試過練習6 中嘅練習並發現佢地困難或痛苦？,1,0.25,0.816109232
我想知道你係咪認為如果你已經嘗試了練習6，可能會令你有呢種感覺？,0.5,0.2,0.944945509
你係咪注意到由於嘗試練習6（如果你已經試過）而產生頂唔順嘅情緒？,0.5,0.16,0.965238632
有時D人會係嘗試做練習6 時受到唔好嘅影響。你最近係咪試過做練習6 並發現呢種體驗令人痛苦？,0.5,0.2,0.935550545
Thank you 你同我分享。我知道呢個可能好難。你最近係咪試過練習6，並且發現佢帶俾你唔開心嘅回憶？,1,0.14,0.886007767
Thank you ，我明白啦！你會話呢種負面情緒係由於最近做練習6 而引發嘅？,0.5,0.12,0.966428661
,,,
首先，你嘅感受對我好重要，所以我需要問吓你之前同練習嘅互動情況。你最近有冇試過練習11 ，如果係咁樣，佢係咪會激發你記起呢一件事引起嘅困難情緒？,1,0.21,0.917261681
有D人發現練習11唔一定對佢地有幫助，所以我想評估吓佢係咪適合你當前嘅情況。你係咪試過練習11 ，佢有冇令你感到任何負面情緒？,1,0.12,0.962044344
Thank you ，我明白啦！你會話呢種負面情緒係因爲最近做練習11而引發嘅？,0.5,0.11,0.994801453
我想知道，最近試吓做練習11係咪會引發任何唔好嘅感覺？如果發生呢種情況，我希望你唔會因為嗰次練習而感覺太辛苦。,1,0.24,0.993486158
我明白呢個可能好難。請問你係咪試過練習11嚟更好咁理解你嘅情緒？,1,0.16,0.963046474
你係咪咁啱試過練習11 ，你認為呢個可能係你產生呢D負面情緒嘅原因嗎？,0.5,0.12,0.933671552
練習11可以喚起你一段時間內可能沒有感受到嘅情緒，所以我想知道佢係咪你正確嘅選擇。有冇可能你最近嘗試了練習11 ，呢個又重新點燃了負面情緒？,1,0.22,0.923963422
多謝你嘅配合，我正係努力確定幫助嘅最佳方式，並知道重新睇返創傷有多麼困難。我好好奇練習11係咪對你嚟講太痛苦了？,1,0.16,0.803332081
我認為練習11可能會有幫助，但係我提出建議之前，我想進一步調查一吓。如果你最近試過練習11 ，你可以話俾我知佢係咪因為最近嘅事件而導致無法控制嘅情緒？,1,0.22,0.921833897
你係咪注意到由於最近發生嘅事件，嘗試練習11 （如果你試過）會有無法忍受嘅情緒？,0.5,0.15,0.997807842
我好遺憾你正係經歷呢個情緒。你最近係咪試過練習11並發現由於最近嘅事件而重新點燃咗負面情緒？,1,0.15,0.985970187
練習11中嘅練習對某D人嚟講可能好難，所以我想知道佢地係咪適合你。你係咪試過練習11並發現佢地好難或有創傷？,1,0.19,0.944945509
多謝你同我分享，我知道呢個可能好難。我想問你最近係咪試過練習11 ，如果係，你係咪因此感到更加痛苦。,1,0.27,0.973506201
Thank you！或者練習11可以幫你處理呢個事件，但係係我推薦佢之前，我想確定你過去沒有遇到過唔好嘅經歷。你係咪已經試過練習11 ，如果係，佢有冇激起到你困難或創傷性嘅情緒？,1,0.2,0.875297507
你係咪嘗試了練習11，你認為呢個可能係你產生呢D負面情緒嘅原因嗎？,0.5,0.13,0.933796818
我認為練習11 可能會有幫助，但係我提出建議之前，我想進一步調查一吓。如果你最近試過第 11 號練習，你可以話俾我知佢係咪會因為之前發生嘅事帶嚟無法控制嘅情緒？,1,0.2,0.935550545
你最近係咪試過練習11，並且發現呢個可能冇你想像中咁有幫助？,0.5,0.13,0.930853063
你可唔可以話俾我知，你係咪嘗試用練習11 睇返過去嘅創傷事件後開始有呢種感覺？,0.5,0.14,0.991607165
我地過去嘅事件可能會引發高漲嘅情緒。係做練習11 時，你係咪經歷過強烈嘅負面情緒？,1,0.14,0.383940874
你係咪試過使用練習11，如果係，呢個係咪會因為過去嘅事件而引發困難嘅情緒？,0.5,0.17,0.960227984
你係咪試過使用練習11，如果係，呢個係咪會因為過去嘅事件而引發困難嘅情緒？,0.5,0.17,0.692471502
知道你嘅感受對我好重要，我需要問吓你之前同練習嘅互動。你最近有冇試過練習11，如果有嘅話，佢係咪會為你回憶起呢D事件而引發唔開心嘅情緒？,1,0.22,0.992671928
知道你嘅感受對我好重要，我需要問吓你之前同練習嘅互動。你最近有冇試過練習11，如果有嘅話，佢係咪會為你回憶起呢D事件而引發唔開心嘅情緒？,1,0.22,0.94901666
Thank you！或者練習11 可以幫你處理呢個事件，但係係我推薦佢之前，我想make sure你過去冇遇到過唔好嘅經歷。你係咪已經試過第 11 號練習？如果係，佢有冇激起到你困難或創傷性嘅情緒？,1,0.17,0.886007767
你有冇注意到由於過去嘅事件，係嘗試練習11（如果你已經試過）時係咪會產生難以忍受嘅情緒？,0.5,0.13,0.975698359
有D人發現練習11 唔一定對佢地有幫助，所以我正係嘗試評估佢係咪適合你當前嘅情況。你係咪試過練習11，佢有冇令你感到任何負面情緒？,1,0.13,0.959163222
練習11 中嘅練習對某D人嚟講可能好難，所以我想知道佢地係咪適合你。你係咪試過練習11 中嘅練習並發現佢地困難或痛苦？,1,0.24,0.982212201
Thank you！我認為練習11 可以幫你處理呢件事，但係有些人報告講呢個練習可能相當激烈。你係咪已經試過練習11，如果係，佢係咪會激起困難或創傷性嘅情緒？,1,0.21,0.938870099
請問你係咪已經通過練習11 並發現佢帶回了困難嘅情緒？,0.5,0.11,0.991231367
你可以話俾我知，係你嘗試了練習11 以重溫過去嘅創傷事件後，你係咪開始有呢種感覺？,0.5,0.17,0.949768258
我地過去嘅許多事件都會引發情緒高漲。你係練習11 期間係咪經歷過強烈嘅負面情緒？,1,0.14,0.875297507
你係咪試過做練習11？如果係咁樣，佢會引發唔舒服嘅感覺嗎？,0,0.13,0.930101466
我知道呢個可能好難理解，請問你係咪試過練習11 以更好咁理解你所感受到嘅情緒，但最後覺得太唔舒服而冇做完？,1,0.22,0.938870099
好嘅，Thank you 你！你最近有冇試過練習11 ，佢係咪令你重溫了痛苦嘅情緒？,0.5,0.09,0.692471502
你最近係咪試過練習11 並發現重新點燃咗負面情緒？,0,0.14,0.725980208
你最近有冇試過練習11 ，如果係咁樣，佢有冇令你感到難以控制自己嘅情緒？,0,0.16,0.992671928
我知道有時諗返過去會令人唔舒服。你係咪試過做練習11 ，如果係咁樣，你係咪感到無法處理而出現唔開心嘅情緒？,1,0.23,0.989039208
呢個真係好有幫助，Thank you ！你覺唔覺得做練習11會令到你覺得唔開心？,0.5,0.1,0.94901666
