content,label
我喜歡結構，因為他每天在不同的時間回家，這讓我很困擾，因為某種原因讓我感到焦慮，唯一讓我感覺不那麼焦慮的方法就是知道他什麼時候回家,1
當我住在街上時，我覺得這將是一個危險的深夜誘惑,1
我感覺身體被一周打垮了，我唯一的選擇就是找一個安全安靜的地方躺下，而我慢慢地說服自己重新思考生活是值得的,0
我會記得當我想做鬼臉時微笑，當我感到煩躁時我會笑,1
儘管現在已經感冒了，但我感到非常精神振奮,3
我真希望我是她烤了一個卑鄙的餡餅，當我興奮起來時，我聽著聽著，感覺很興奮，以至於我吃了她的美味佳餚,3
我感覺自己像一個情感截肢者,0
我有很長的感覺不被愛和不可愛的歷史,0
我必須承認我感到無聊的另一個原因也是因為我想念我的家人和他們的喜劇喋喋不休,0
我覺得我衝進了婚姻，現在我很痛苦一個 href http realchick,1
當我什麼都不做，只是浪費寶貴的時間時，我感到如此不重要和不值得,0
我知道我是怎樣的我仍然感到不安全仍然感到需要他人的認可,2
看著這個我永遠不會覺得臟,0
我對這一切感到很膽小，儘管我對這一切知之甚少，但我對這一切充滿信心,2
我覺得我對 youtube 充滿熱情，所以我很想解釋為什麼我認為 youtube 是下一個最好的娛樂方式,3
我現在對工業化食品非常懷疑我也對更自然的健康和可持續的選擇感到光明,2
我覺得特別喜歡冒險，我只把意大利面煮到一半，然後在醬汁裡煮,3
我今天感覺很仁慈,3
我想去年我本可以和他有機會的，但每次我喜歡一個人時，我開始越來越多地迴避他們，因為我覺得太不安全了,2
我覺得直到現在我記得的事情是你只是在嫉妒，因為你的男朋友不在同一所高中,1
我比其他人有更多的憤怒荷爾蒙，如果我覺得你冤枉了別人或我，我會在心跳中告訴你,1
我覺得被所有 ryans 朋友拒絕 我覺得他們不喜歡我，不想再讓我在身邊了,0
我仍然對喬希有那種奇怪的刺痛感，因此我討厭他的女朋友,0
我真的很不舒服,2
我需要得到主管的尊重和信任，因為我覺得我的隊友整個星期都把我當作家裡的孩子，我也許應該得到它,3
我還認為nikki是個懦夫，會屈服並嫉妒女孩子,1
我參加了試鏡，這很好，因為它是一部分，但因為我感到痛苦而哭泣,2
我想讓你3，向你展示我是多麼不友好 img src http www,1
我不想讓她愛我，我不想讓她一開始就因為這樣做而感到愚蠢,0
我不再感到被剝奪,0
我不再接受和允許軟弱的想法、感覺或信念作為心靈的可悲藉口,0
我感到脾氣暴躁，嘴巴很髒，幾乎任何要從我嘴裡吐出來的東西聽起來都平淡而空洞，好像我試圖交出沒有意義和情感的詞,1
星期一醒來，我感覺不那麼昏昏欲睡，更樂觀了，但在吃東西或喝東西的幾分鐘內，我仍然不得不跑去洗手間，而且沒有胃口或口渴,0
當我情緒激動時，我可以求助於整個村莊,0
我一直沒有不時查看你所有可愛的服裝和帖子，同時對你用創造性的流程來兼顧生活的能力感到非常嫉妒,1
我不想感到不耐煩,1
我想我應該說我為他的老師感到2,2
我對我的生活很不滿意,1
我真的覺得很不安全，就像他們是大人物一樣，我是如此暴露，感到如此脆弱,2
我今天感到心碎,0
我醒來時感到害怕，無法重新入睡,2
我覺得我被工作和不重要的事情所吸引，以至於我開始真正迷失自我，試圖擺脫困境變得越來越難,0
我感到有點不安全，但我認為這對我們所有人來說都是如此,2
我會從 lc 中分享一些我最喜歡的技巧，我覺得如果沒有我就無法成功,3
我感到忘恩負義，像一個邪惡的妓女一樣，因為他們付出了足夠多的錢，以至於他們買不起我，所以像這樣強迫我做慈善,0
我仍然對血腫是否真的對我或嬰兒仍然危險感到復雜,1
我決定不再感到孤單 我還有,0
我醒著躺在安妮的沙發上或布魯克的客房裡，我覺得自己很卑鄙,1
我現在覺得不受歡迎和不受歡迎,0
我開始感到煩躁，直到我厭倦了餵這些維生素,1
我覺得不足以發布我的成功,0
我不知道為什麼我對此感到自私,1
我最近沒有感覺最美妙,3
我壓力很大，是的，我對整個過程感到害怕,2
今天我感到脾氣暴躁和青春期，我不知道為什麼我要對我喜歡href http twitter的人發脾氣,1
讀完小說後，我幾乎總是對它們感到不滿意,1
把所有的東西都交到安娜手裡，我覺得很可怕,0
我在舞台上還是覺得很膽小,2
我覺得被騙了幾頁重要信息，並稱之為陰謀 lt lisavan gt 我有最多的結果 lt lisavan gt 我永遠不會透露最後一個,3
我發現這個故事真的很沒有感情，但我覺得很奇怪，因為除了我之外每個人似乎都喜歡它,2
過去幾天我感覺很糟糕,0
我最近覺得很沒用,0
之後我去了瑜伽，現在我感覺很棒,3
我覺得如果一個形狀戳大腦只是從不同角度來回移動，那麼激動會更好,2
我只是提前告訴你，我在短短一個月內從未織過一件完整的毛衣，我感到有點壓力,1
我回來了，一切仍然感覺很奇怪,2
我覺得他們試圖暗示的是，一些 uciha 氏族的成員並不是都被搞砸了,1
我現在已經聽了很多次了，我感覺受到了侮辱,1
我不禁覺得自己是博客海難的倖存者，我們都注定要失敗,0
我不是一部會讓任何人感到痛苦的電影,1
我現在感覺很累,0
我希望同情的感覺和行動將有助於減輕我的恐懼情緒並控制我的夢想,2
我每天都用眼線筆更自信,3
我覺得有點酷,3
當我用雙手抓住自己時，我總是覺得自己很愚蠢，下巴緊繃，肚子打結,0
我為了叛逆而感到叛逆,1
我打字是因為我對自己的工作感覺如此強烈，並且非常感謝有機會在我們的新家鄉繼續這樣做,3
我很激動你真的很喜歡他,3
星期四我要去阿魯巴島呆一周，這時我也覺得需要一個可愛的面具來讓這六個多小時的飛機旅行更放鬆一點,3
我離開辦公室感到羞辱，這不應該發生,0
我翻開書，對自己有點不確定,2
我沒有那種大學經歷，每當我聽到有人談論他們的大學經歷時，我都有一部分感到有點羨慕,1
我有點緊張,2
我覺得以後不會對你抱太大希望，因為我有點懷疑,2
我覺得這是探索那個世界的最佳時機,3
我想我上週沒練到，所以今天做深蹲感覺沒那麼強壯,3
我覺得被打敗了,0
我在面試時感到非常不舒服，我知道這會讓其他人感到不舒服,2
我可以說的是，當我閱讀時，我是否覺得它有尊嚴是很明顯的,3
我能感覺到我的傷口在疼痛我的背還在跳動,0
我感覺好像有人搖了書，那些泛黃的紙片撕破了火柴盒封面和壓扁的咖啡攪拌器掉到了地板上，折角的翻蓋被壓得很光滑,2
我感到筋疲力盡，他也是我們都工作了很多我們做了很多我們嘗試了很多我們還沒有準備好放棄,0
我感覺更輕、更有活力,3
無論是密歇根州的州長還是紐約州的州長，在他的妻子和女兒背後和妓女睡覺時，我都感到同樣的道德憤怒,1
我在對此感到舒服但又知道我感覺不像我應該的那樣健康之間感到左右為難,3
我發現自己對收到的評論感到沮喪,1
我對工作感到相當緊張，但另一方面，我很感激我有很多事情要忙，讓我有事可做,2
有時候我覺得很貪婪，看起來我的眼睛很貪吃，我會吃飽的,1
我知道如果我感到特別被冒犯或痛苦甚至忘恩負義，我會這樣做,1
我在唱月亮河，心情很平靜,3
我繼續前進，但在第一圈開始時就開始感到非常失敗，質疑我是否能夠完成比賽,0
我覺得自己像一個與世界隔絕的野蠻人,1
我覺得自己像個無助的孩子，好像我最喜歡的詩人雪萊在我跌倒在生命的荊棘上流血時悲嘆，我無意以壞的眼光描繪印度,2
與酒鬼,1
頭兩天我有時也會有點脾氣暴躁,1
我看到並感覺到我應該高興的結果，但另一方面我感到失望,3
我假裝我沒有任何皮膚問題，並像往常一樣接近店裡的人，而不是感到焦慮,2
我感到麻木，似乎無法動彈,0
我也買了一條新造型的蛇，但我對此有點猶豫不決，因為我認為它不值得我退貨,2
我堅信並感覺正在細讀我的藝術目標,3
我現在感到相當壓抑，但以一種卑微的夏洛特網絡方式,0
我想我只是覺得叛逆,1
我懇求您對我耐心等待我很高興與您聯繫以獲得一些幫助和業務關係,3
我感到極度的侮辱，我不會容忍它,1
我確實希望當你考慮追求一個很難得到的女人時，你會被提醒這是具有挑戰性的，甚至會覺得自己不夠格，因為你是,0
我感到沮喪,0
我對她說，我仍然感覺到每一次宮縮，而且它們很痛,0
我相信你會因為我反復告訴你這件事而感到惱火，但這是我永遠不會忘記告訴你的唯一建議，告訴你跟隨你的心，但明智永遠不會錯,1
這個月我感到非常感激，這個施華洛世奇的小禮物絕對是我七月最喜歡的時刻之一,3
我感到2的是，我演奏的樂器有點難以維護，因為琴弦不斷斷裂,2
我不能說我在漫長的單身女郎季節結束時會像往常一樣多愁善感,0
我一直在建立體力，所以我對做這件事很有信心,3
當我感到不確定時，我會猶豫寫信，但我的帖子變得太不規則了，讓人不舒服,2
我偷歌詞來表達我在任何特定時間的想法或感受，相信他們在我身上喚起的情感會被傳達,3
我感到需要並且想要感到不公正的委屈，儘管我的思想告訴我我的罪孽不值得我的心告訴我渴望我缺乏的那種基本的正義感,1
我記得當時感到有點困惑，並真的質疑她對我這麼說,2
我不再覺得他那麼有壓力了,2
我真的不明白為什麼我會被我遇到的事情所困擾，因為讓我們面對現實吧，我沒有權利去感受任何東西,1
第二天醒來，我對不得不經歷這樣的一天感到不滿，我心裡知道我根本不會享受它,1
我覺得遠非可愛,3
我今天感覺自己像個愛發牢騷的小子,0
我覺得這個三明治裡的甜辣味把舊的備用品提升到更特別的地方,3
我一直感到非常脆弱,2
我有點不確定她真的是一個好女孩和好朋友材料,2
我從來不知道對人生道路充滿熱情是什麼感覺，直到我讓自己決定這不僅僅是我想做的愛好，而是我想做的事業,3
我什麼都感覺不到，我什至不再激動,1
我覺得廢話我的心變得害怕並產生焦慮症狀，真的感覺我生病了,2
當我在秋天被我工作的酒店經理訓斥時,2
我知道我會到達那裡，但現在我感到有點瘋狂,2
我懇求人們並為他們沒有聽到而感到心煩意亂,2
我一點也不害怕,2
我感到貪婪，直到我登上頂峰我才會快樂,1
有人提醒我，嫉妒是我覺得自己不值得的標誌，我與自我源愛沒有聯繫,1
我是這麼說的，當我讀到有人減肥得更快或者比我更棒的人時，我感到很羨慕,1
我盡量遠離與朋友的政治討論，但我覺得在這個我創造的空間裡，我可以安全地討論我的感受,3
我可以說，這裡感覺像是一個危險而脆弱的時刻，因為某些治療過程和反擊行動正在發生，這些過程與過去最近和遙遠的各個層面的創傷有關,1
我緊張起來，開始太努力地讓她做我想讓她做的事，而我想讓她做，罌粟緊張起來，事情變得非常糟糕，我最終感到不高興，我相信罌粟也這樣做了,1
我對自己的皮膚感覺很舒服,3
我覺得我必須為此做點什麼，否則我會因為其他人的不快樂而受到指責,0
我想起了與我共事過的人，他們讓我感到真正受到重視，他們是 Craig slaight jeremy cohen michael wilson danny scheie paul whitworth ed lapine richard rauscher james latus 和darko tresjnak,3
我感到如此精力充沛和精力充沛，我簡直不敢相信我的生活中有多少快樂,3
雖然我覺得很聰明,3
我討厭感到害怕,2
我這樣做了，我持續了大約幾分鐘，然後我能感覺到，如果我呆在那裡，我會變得焦躁不安，所以我站起來，而不是稱之為失敗，我聲稱這是一次成功的冥想,2
我感到脆弱易碎,2
我覺得使用它很糟糕，但我們又一次沒有時間和他爭論,0
我現在感覺真的很嚴重，主要是因為我服用了雙刃劍,1
在這一點上，我真的覺得有點愚蠢，因為我做了這麼大的事情,0
我現在又感到緊張焦慮害怕的膽小鬼又焦慮了，我覺得我要瘋了,2
我想感謝他們讓喬丹和我自己有機會在沒有任何分心的情況下在一起，讓我們感到如此受歡迎和被愛,3
我很高興我畢竟不是一個糟糕的母親，我只是繼續享受這一天,0
我只是覺得很不幸，他們在過去的四年裡沒有分支,0
我一個人從一家餐館回家，天黑了,2
眾所周知，我會參加一兩次關於其他人的抱怨節，然後說我覺得自己很髒,0
我感到壓力和落後，因為我正在巡迴演出,2
我很感激去的機票我真的開始對它感到惱火，因為它甚至沒有考慮到我目前的情況,1
我想要糖果而不是我對這個截止日期感到焦慮我會跑一小段時間回到我的工作,2
我知道它的止痛藥讓我今天感到哭泣和懷舊，另一方面，它並沒有減少這種感覺,0
我上床睡覺，大約在我醒來時感覺很奇怪,2
我承認那些讓我感到委屈的女人只是在做她們認為最好的事情，因為她們試圖將我塑造成她們每個人都認為我應該成為的人,1
我情緒低落或情緒低落,0
